2026-03-29 07:01:26 | INFO     | camo_log | [main_adaptive] Initialisation du réglage adaptatif | payload={"enabled": true, "target_index": 1}
2026-03-29 07:01:26 | INFO     | camo_log | [main_adaptive] Initialisation du réglage adaptatif | payload={"enabled": true, "target_index": 2}
2026-03-29 07:01:26 | INFO     | camo_log | [main_adaptive] Initialisation du réglage adaptatif | payload={"enabled": true, "target_index": 1}
2026-03-29 07:01:26 | INFO     | camo_log | [main_adaptive] Initialisation du réglage adaptatif | payload={"enabled": true, "target_index": 2}
2026-03-29 07:01:26 | INFO     | camo_log | [main_adaptive] Initialisation du réglage adaptatif | payload={"enabled": true, "target_index": 3}
2026-03-29 07:01:26 | INFO     | camo_log | [main_adaptive] Initialisation du réglage adaptatif | payload={"enabled": true, "target_index": 1}
2026-03-29 07:01:26 | INFO     | camo_log | [diagnostic] Candidat analysé | payload={"accepted": true, "fail_count": 0, "fail_rules": [], "local_attempt": 1, "seed": 201, "target_index": 1}
2026-03-29 07:01:26 | WARNING  | camo_log | [main_adaptive] Rejet analysé et réglages ajustés | payload={"adaptive_hint": {"avoid_vertical": 0.0, "extra_boundary_nudge_passes": 0, "micro_gris_bias": 0.0, "olive_macro_target_scale": 1.0, "prefer_oblique": 0.0, "prefer_vertical": 0.0, "terre_macro_target_scale": 1.0}, "consecutive_rejections": 1, "fail_rules": [], "local_attempt": 1, "seed": 201, "target_index": 1}
2026-03-29 07:01:26 | WARNING  | camo_log | [start_worker] Génération arrêtée | payload={"accepted_count": 0, "total_attempts": 0}
2026-03-29 07:01:26 | INFO     | camo_log | [main_adaptive] Initialisation du réglage adaptatif | payload={"enabled": true, "target_index": 1}
2026-03-29 07:01:26 | WARNING  | camo_log | [start_worker] Génération arrêtée | payload={"accepted_count": 1, "total_attempts": 0}
2026-03-29 07:01:26 | INFO     | camo_log | [start_worker] Génération terminée avec succès | payload={"accepted_count": 1, "total_attempts": 0}
2026-03-29 07:01:26 | INFO     | camo_log | [start_preflight] Préflight lancé depuis le front | payload={"mode": "bloquant", "modules": ["test_main", "test_start"], "timeout_s": null}
2026-03-29 07:01:26 | INFO     | camo_log | [start_preflight] Préflight terminé | payload={"ok": true, "summary": "12 tests OK"}
2026-03-29 07:01:26 | INFO     | camo_log | [start_worker] Génération démarrée | payload={"output_dir": "C:\\Users\\alpha\\Documents\\GitHub\\camo-generator\\camouflages_federale_europe", "run_mode": "blocking", "target_count": 2}
2026-03-29 07:01:26 | ERROR    | camo_log | [start_preflight] Préflight en échec | payload={"blocking": true, "ok": false, "summary": "KO"}
2026-03-29 07:01:26 | INFO     | camo_log | [start_preflight] Préflight terminé | payload={"ok": true, "summary": "9 tests OK"}
2026-03-29 07:01:26 | INFO     | camo_log | [start_preflight] Préflight terminé | payload={"ok": true, "summary": "9 tests OK"}
2026-03-29 07:01:27 | INFO     | camo_log | [start] Arrêt de l'interface Kivy
2026-03-29 07:01:27 | INFO     | camo_log | [start] Arrêt de l'interface Kivy
2026-03-29 07:01:27 | INFO     | camo_log | [start_worker] Génération démarrée | payload={"output_dir": "C:\\Users\\alpha\\Documents\\GitHub\\camo-generator\\camouflages_federale_europe", "run_mode": "blocking", "target_count": 2}
2026-03-29 07:01:27 | WARNING  | camo_log | [start_worker] Arrêt demandé | payload={"accepted_count": 0, "total_attempts": 0}
2026-03-29 07:01:27 | INFO     | camo_log | [tests] Fin module de test | payload={"completed": true, "duration_s": 3.575332, "module": "test_start", "ok": true, "returncode": 0, "timed_out": false}
2026-03-29 07:01:27 | INFO     | camo_log | [tests] Fin module de test | payload={"completed": true, "duration_s": 3.903633, "module": "test_main", "ok": true, "returncode": 0, "timed_out": false}
2026-03-29 07:01:27 | INFO     | camo_log | [tests] Fin préflight asynchrone | payload={"completed": true, "duration_s": 3.924642, "errors": 0, "failures": 0, "ok": true, "parallel": true, "timed_out": false, "timed_out_modules": [], "total": 189}
2026-03-29 07:01:27 | INFO     | camo_log | [start_preflight] Préflight terminé | payload={"ok": true, "summary": "189 tests OK"}
2026-03-29 07:08:34 | WARNING  | camo_log | [diagnostic] Candidat analysé | payload={"accepted": false, "fail_count": 14, "fail_rules": ["abs_err_coyote", "abs_err_olive", "abs_err_gris", "mean_abs_error", "ratio_coyote", "ratio_olive", "ratio_gris", "largest_olive_component_ratio", "largest_olive_component_ratio_small", "olive_multizone_share", "boundary_density", "vert_olive_macro_share", "center_empty_ratio", "center_empty_ratio_small"], "local_attempt": 1, "seed": 202603220001, "target_index": 1}
2026-03-29 07:08:34 | WARNING  | camo_log | [start_worker] Candidat rejeté | payload={"global_attempt": 1, "local_attempt": 1, "score_final": 0.34272, "seed": 202603220001, "target_index": 1}
2026-03-29 07:08:34 | INFO     | camo_log | [start_worker] Tentative en cours | payload={"global_attempt": 2, "local_attempt": 2, "seed": 202603220002, "target_index": 1}
2026-03-29 07:15:46 | WARNING  | camo_log | [diagnostic] Candidat analysé | payload={"accepted": false, "fail_count": 13, "fail_rules": ["abs_err_coyote", "abs_err_olive", "abs_err_gris", "mean_abs_error", "ratio_coyote", "ratio_olive", "ratio_gris", "largest_olive_component_ratio", "largest_olive_component_ratio_small", "boundary_density", "vert_olive_macro_share", "center_empty_ratio", "center_empty_ratio_small"], "local_attempt": 2, "seed": 202603220002, "target_index": 1}
2026-03-29 07:15:46 | WARNING  | camo_log | [start_worker] Candidat rejeté | payload={"global_attempt": 2, "local_attempt": 2, "score_final": 0.42122, "seed": 202603220002, "target_index": 1}
2026-03-29 07:15:46 | INFO     | camo_log | [start_worker] Tentative en cours | payload={"global_attempt": 3, "local_attempt": 3, "seed": 202603220003, "target_index": 1}
2026-03-29 07:20:08 | WARNING  | camo_log | [start_worker] Arrêt demandé | payload={"accepted_count": 0, "total_attempts": 3}
2026-03-29 07:24:10 | ERROR    | camo_log | [start_worker] Erreur de génération | payload={"accepted_count": 0, "error_message": "cannot schedule new futures after shutdown", "total_attempts": 3}
